Predator,SM,P-EEL,N-PE,P-PE,PP,HG,BHG,GHG,LG,CG,CTE,BT,GR,GOO,REM,S,COR,ZO,CH,GA,NE,,RU,RO,BR,N-EEL
Smelt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1298,0,0,0,,0,0,0,0
Piscivorous eel,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
Nonpiscivorous perch ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.2,3.7,12.6,12.1,,0,0,0,0
Piscivorous perch,58.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,9.1,0,0,0
Pike perch,8.9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,0.1,1,0
Herring gull,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.4,0.5,3,0
Black-headed gull,8.1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,0
backed gull,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0.2,0.2,0
Little gull,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
Common gull,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
Common tern,0.6,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
Black tern,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
Great-crested grebe,46,0,3,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.6,1,0.1,0
Goosander,2.7,0,0.7,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.6,15,0,0
Red-breasted  merganser,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0.7
Smew,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,0
Cormorant,17,0.1,7.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,8.4,3.1,0,0.1
Fishery,9,3,0,3.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,18,3.9,1
