Group,biomass,pb,qb,ee,ge
Lates niloticus,2.43,0.43,4.3,0.8,0.1
Medium predators,3,1.58,10.5,0.8,0.15
Small predators,2.52,2.48,16.5,0.8,0.15
Alestes macrolepidotus,3.63,3.2,16,0.9,0.2
enthivores,1.98,4,20,0.9,0.2
Zooplanktivores,5.16,4,16,0.9,0.25
Sarotherodon galilaeus,5.25,2.4,16,0.9,0.15
Detritivores,2.12,4,40,0.9,0.1
Shrimps,2.89,5,30,0.9,
Benthic invertebrates,18.6,36.48,120.05,0.15,0.3
Insects,9.3,15.08,45.05,0.8,0.33
Zooplankton,3.4,63.7,182,0.93,0.35
Phytoplankton,2.25,365,0,0.77,0
Macrophytes,2000,1,0,0.1,0
