Group,Habitat area,Biomass in habitat,biomass,pb,qb,ee
Elopichthys,1,0.0385,0.0385,0.98,3.62,0.585
Erythroculter,1,1.958,1.958,1.054,3.83,0.858
Pseudolaubuca,1,0.466,0.466,1.17,3.97,0.987
Bighead carp,1,4.817,4.817,1.299,7.53,0.953
Silver carp,1,1.52,1.52,1.503,10.19,0.981
Common carp,1,0.21,0.21,1.035,3.55,0.928
Xenocypris,1,1.489,1.489,1.36,14.7,0.948
Sinibrama,1,2.922,2.922,1.36,14.7,0.971
Other fish,1,0.347,0.347,1.198,12,0.965
Shrimp,1,0.867,0.867,1.83,24.4,0.956
Mollusk,0.2,3.233,0.647,2.4,19.2,0.948
Meiobenthos,0.8,11.876,9.501,4.03,201.5,0.595
Zooplankton,1,10.301,10.301,15.81,316.2,0.627
Phytoplankton,1,20.44,20.44,200.75,0,0.543
Benthic producer,0.2,7.17,1.434,80,0,0.5
Detritus,1,6.677,6.677,0,0,0.487
