Group,biomass,pb,qb,ee,ge
CulM,0.042,0.974,9.3,0.75,0.11
CulT,1.448,1.18,10.2,0.65,0.12
ChaA,1.809,1.4,6.6,0.64,0.21
PelF,1.809,1.47,5.7,0.61,0.26
BlaC,0.624,0.912,4.2,0.97,0.22
ComC,2.648,3.5,12,0.41,0.29
TraF,2.648,4.4,15,0.89,0.29
GraC,1.163,1.2,6.2,0.93,0.19
FilC,0.194,1.315,6.1,0.74,0.22
MegA,3.048,0.714,3.4,0.59,0.21
Crab,0.567,2.1,8,0.96,0.26
Shri,3.233,4.5,24.4,0.75,0.18
Bent,3.328,12,201.5,0.72,0.06
Moll,92.3,2.4,19.2,0.13,0.13
Cope,0.534,12.165,234.3,0.41,0.05
Clad,0.076,15.3,307.8,0.9,0.05
Roti,0.687,30,316.2,0.95,0.09
Phyt,1.008,200.75,0,0.11,0.1
Peri,31.868,7,0,0.62,0.12
Macp,1771.833,1.67,0,0.01,0
Detr,6543.292,0,0,0.44,0
